TYPE;FAILURECODE;DESCRIPTION
REMEDY;CAMBIAR;CAMBIAR
REMEDY;LIMPIAR;LIMPIAR
PROBLEM;FUGAS;FUGA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CORROSIO;PRESENCIA DE CORROSION
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
CAUSE;FABRICAC;DEFECTO DE FABRICACION (TUBO/ACCESORIO DEFECTUOSO)
CAUSE;CORREXT;CORROSION EXTERNA
REMEDY;REPARAR;REPARAR
PROBLEM;ESTRUCT;DANO EN RECUBRIMIENTO, ABOLLADURA, DEFORMACION
REMEDY;REPARAR;REPARAR
CAUSE;DESPLTER;DESPLAZAMIENTO DEL TERRENO, DESLIZAMIENTO, EROSION
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;ENVEJEC;ENVEJECIMIENTO DEL AISLAMIENTO
CAUSE;FUER.DIS;PUESTA A TIERRA FUERA DE VALORES ESTANDAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;RETIRAR;RETIRAR
CAUSE;CORTO.VI;CORTOCIRCUITO POR FUERTES VIENTOS
REMEDY;AJUSTAR;AJUSTAR
CAUSE;DESG.MC;DESGASTE POR MATERIALES DE MALA CALIDAD
CAUSE;CORT.OBJ;CORTOCIRCUITO POR OBJETOS SOBRE LA LINEA
REMEDY;SERVI.NORMAL;SERVICIO NORMAL
FAILURECLASS;VALVULA;DANO DE VALVULAS
CAUSE;SELL.DES;SELLO DESALINEADO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REVISAR;REVISAR
CAUSE;ROTURA;ROTURA
CAUSE;CONTROL;DANO CONTROL
REMEDY;REPARAR;REPARAR
CAUSE;CORRINT;CORROSION INTERNA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CONTADOR;DANO DE CONTADOR DE FALLAS
CAUSE;FALT.LUB;FALTA DE LUBRICACION
CAUSE;FALALIMCONT;FALLA DEBIDO A FALTA DE ALIMENTACION EN CONTROL
REMEDY;CAMBIAR;CAMBIAR
CAUSE;RODAMIPEGADO;RODAMIENTOS DE LAS COLUMNAS PEGADOS
PROBLEM;FALLAAPERTUR;NO ABRE
CAUSE;RESORTEDEFEC;RESORTES DE PRESION CONTACTOS DEFECTUOSOS
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;HUNDIMTERRE;HUNDIMIENTO DEL TERRENO
CAUSE;IMPDANA;IMPULSOR DAÑADO/DESGASTADO
REMEDY;LIMPIAR;LIMPIAR
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
PROBLEM;SINFLUJO;SIN FLUJO
CAUSE;INTERSOB;INTERRUPTOR SOBRECALENTADO
CAUSE;CON SUL;CONEXIONES SULFATADAS O FLOJAS (PUNTOS CONEXION CU)
FAILURECLASS;CELDA;CELDA
PROBLEM;DANO.POT;NO OPERA POR DANO EN POTENCIA
PROBLEM;FUGAS;FUGA
PROBLEM;ROTURA;ROTURA
PROBLEM;MOTOR_SOBRECAL;MOTOR SOBRECALENTADO
REMEDY;LIMPIAR;LIMPIAR
CAUSE;BBA_AGUA_FALLA;BOMBA DE AGUA EN FALLA
REMEDY;REPONER;REPONER
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;REPARAR;REPARAR
PROBLEM;VOLINTER;VOLTAJE INTERMITENTE
REMEDY;REPARAR;REPARAR
PROBLEM;CORTO;CORTOCIRCUITO INTERNO DE LA LUMINARIA
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;AGRIETAD;AGRIETADO
PROBLEM;FALLACIERRE;NO CIERRA
CAUSE;MOTORQUEMAD;MOTOR QUEMADO
CAUSE;EJESUELTO;EJE DE ACOPLE SUELTO
REMEDY;LIMPIAR;LIMPIAR
REMEDY;ACOPLAR;ACOPLAR
PROBLEM;FUGAMEDIAISL;FUGA DE MEDIO AISLANTE  DEL INTERRUPTOR
CAUSE;AISLADORROTO;AISLADOR ROTO
REMEDY;AJUSTAR;AJUSTAR
PROBLEM;NOBLOQMANDO;NO  BLOQUEA MANDO POR BAJA PRESION
CAUSE;CONTACDANADO;CONTACTO DEL INSTRUMENTO DANADO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;EMPAQUEDANAD;EMPAQUETADURA DANADA
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;TIEMCIER60;TIEMPO DE CIERRE SUPERIOR A 60 mS
REMEDY;CAMBIAR;CAMBIAR
CAUSE;GATILLODANAD;GATILLO APERTURA/CIERRE DEFECTUOSO
CAUSE;CONTAMINACION;CONTAMINACION
CAUSE;CORROSION;CORROSION
CAUSE;HUNDIMTERRE;HUNDIMIENTO DEL TERRENO
REMEDY;RESTABLECER;RESTABLECER
REMEDY;REPARAR;REPARAR
CAUSE;VASOROTO;VASO DE LA SILICA ROTO
REMEDY;REPARAR;REPARAR
REMEDY;REVISAR;REVISAR
REMEDY;LIMPIAR;LIMPIAR
CAUSE;CORROSION;CORROSION
REMEDY;PINTAR;PINTAR
CAUSE;FALLAALIMEN;FALLA DEBIDO A FALTA DE ALIMENTACION EN CONTROL
REMEDY;REPARAR;REPARAR
CAUSE;REGTENMALCAL;REGULADOR DE TENSION MAL CALIBRADO
REMEDY;REPARAR;REPARAR
CAUSE;CABTIERROTO;CABLE DE PUESTA A TIERRA CON HILOS ROTOS
REMEDY;LIMPIAR;LIMPIAR
CAUSE;AISLADORREVE;FALLA DEBIDO A AISLADOR GIRATORIO REVENTADO
CAUSE;INDICADORSUC;INDICADOR SUCIO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DANOMECANICO;DANO MECANICO EN EL MECANISMO DE ACCINAMIENTO
REMEDY;REPARAR;REPARAR
CAUSE;FALALIMCONT;FALLA DEBIDO A FALTA DE ALIMENTACION EN CONTROL
CAUSE;AISLADORREVE;AISLADORREVE
PROBLEM;DESTRUCCION;DESTRUCCION
CAUSE;DESCALIBRACION;BRAZOS DE ACCIONAMIENTO DESCALIBRADOS
REMEDY;RESTABLECER;RESTABLECER
CAUSE;CORROSION;CORROSION
REMEDY;PINTAR;PINTAR
REMEDY;RECONSTRUIR;RECONSTRUIR
CAUSE;CORROSION;CORROSION
REMEDY;PINTAR;PINTAR
REMEDY;REPARAR;REPARAR
REMEDY;SOLDAR;SOLDAR
CAUSE;DANOMECANICO;DANO MECANICO EN EL MECANISMO DE ACCINAMIENTO
PROBLEM;DESTRUCCION;DESTRUCCION
REMEDY;REPARAR;REPARAR
CAUSE;BOBINAQUEMAD;FALLA DEBIDO A BOBINA DE CIERRE/APERT QUEMADA
REMEDY;CALIBRAR;CALIBRAR
PROBLEM;NOHAYINDICAC;NO HAY SEÑALIZACION ELECTRICA ESTADO INTERRUPTOR
REMEDY;CALIBRAR;CALIBRAR
CAUSE;SUCIEDAD;TRANSFORMADOR  DE POTENCIAL CORROIDO
PROBLEM;TIEMAPER30;TIEMPO DE APERTURA SUPERIOR A 30 mS
REMEDY;AJUSTAR;AJUSTAR
CAUSE;HUMEDAD;HUMEDAD EN AL CELDA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CONTAMINACION;CONTAMINACION
CAUSE;BREAKERABIER;BREAKER DE PROTECCION ABIERTO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DANOINTERNO;DAÑO INTERNO
CAUSE;PORCELARROTA;PORCELANA ROTA
PROBLEM;HUMEGABICONE;HUMEDAD EN GABINETE DE CONEXIONADO
FAILURECLASS;CARGADOR;CARGADOR
PROBLEM;NOCAMBVARIA;NO PERMITE CAMBIAR VARIALBLES A CONTROLAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CERRAR;CERRAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;NOENVSENALAR;NO ENVIA SENAL ALARMA
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;LIMPIAR;LIMPIAR
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
REMEDY;REPONER;REPONER
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;BBA_HCA_FALLA;BOMBA HIDRAULICA EN FALLA
REMEDY;REPARAR;REPARAR
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;REPARAR;REPARAR
CAUSE;HORQUILL_FALLA;HORQUILLA DESGASTADA O ROTA
CAUSE;EJE_DEFORMADO;EJE DEFORMADO, PIERDE GEOMETRIA
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;AJUSTAR;AJUSTAR
CAUSE;OPERACION_MALA;OPERACION INCORRECTA
PROBLEM;ELECTRIC_FALLA;SISTEMA ELECTRICO EN FALLA
REMEDY;REPARAR;REPARAR
PROBLEM;FRENOS_FALLA;SISTEMA DE FRENOS EN FALLA
CAUSE;SECADOR_FALLA;SECADOR DE AIRE EN FALLA
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;CABLESUELTO;CABLE DE PUESTA A TIERRA SUELTO
CAUSE;CABTIERROTO;CABLE DE PUESTA A TIERRA CON HILOS ROTOS
REMEDY;REPARAR;REPARAR
REMEDY;RECONSTRUIR;RECONSTRUIR
REMEDY;CONECTAR;CONECTAR
CAUSE;CONTAMINACION;CONTAMINACION
CAUSE;SUCIEDAD;TRANSFORMADOR  DE POTENCIAL CORROIDO
REMEDY;REVISAR;REVISAR
REMEDY;REARMAR;REARMAR
REMEDY;CERRAR;CERRAR
CAUSE;SUCIEDAD;TRANSFORMADOR  DE POTENCIAL CORROIDO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
CAUSE;FILTROSUCIO;FILTRO SUCIO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
CAUSE;RELEFALLADO;RELE SENALIZACION FALLADO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CABLESUELTO;CABLE DE PUESTA A TIERRA SUELTO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;FALLA.DESGASTE;FALLA VALVULAS DESGASTE
REMEDY;REPARAR;REPARAR
CAUSE;FALLA.REFRIG;FALLA SISTEMA DE REFRIGERACION
CAUSE;FALLA.ALIMENT;FALLA ALIMENTACION
CAUSE;FALLA.ELEM;AFLOJAMIENTO O FALLA DE ELEMENTOS
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
CAUSE;OPERAC;OPERACION INCORRECTA
REMEDY;REPARAR;REPARAR
PROBLEM;OBSTRUCC;OBSTRUCCION
CAUSE;CONTAMIN;ELEMENTOS EXTRANOS O CONTAMINANTES EN EL FLUIDO
CAUSE;FABRICAC;DEFECTO DE FABRICACION (TUBO/ACCESORIO DEFECTUOSO)
REMEDY;REPARAR;REPARAR
CAUSE;CORREXT;CORROSION EXTERNA
CAUSE;INSTALAC;DEFECTO DE CONSTRUCCION, INSTALACION, MONTAJE
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
REMEDY;CONECTAR;CONECTAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;AMBIENTE;CONDICIONES AMBIENTALES
REMEDY;INSPECCI;INSPECCIONAR
REMEDY;REDIREC;REDIRECCIONAR
CAUSE;TARJ.COM;TARJETA DE COMUNICACIONES FALLADA
CAUSE;ANTENA;ANTENA
FAILURECLASS;ELECTGEN;ELECTRICOS GENERICO
CAUSE;FUENTEABIERT;FUENTE ABIERTA
CAUSE;CALENTAMIENTO;CALENTAMIENTO
CAUSE;FUENTEABIERT;FUENTE ABIERTA
CAUSE;CABLESUELTO;CABLE DE PUESTA A TIERRA SUELTO
FAILURECLASS;RADIO;RADIO
CAUSE;OBST.CONSTRU;OBSTRUCION POR CONSTRUCCION
CAUSE;DANOTOTAL;DANO TOTAL
CAUSE;ALIM.INDOOR;ALIMENTADOR INDOOR
CAUSE;DANOTOTAL;DANO TOTAL
PROBLEM;DISP.BLO;BLOQUEO DEL DISPOSITIVO
PROBLEM;TARJETAPPAL;TARJETA PRINCIPAL
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;PERDI.CONFIG;PERDIDAD DE CONFIGURACION
REMEDY;REINSTALAR;REINSTALAR
PROBLEM;MEMORIFLASH;MEMORIA FLASH
REMEDY;CONFIGURAR;CONFIGURAR
PROBLEM;PERDIDASENAL;PERDIDA DE LA SENAL
CAUSE;HURTO;HURTO
PROBLEM;PUES.TIERRA;PUESTA A TIERRA
CAUSE;CUCHILLA;DANO CUCHILLA
CAUSE;LUCESOBST;LUCES DE OBSTRUCCION
CAUSE;CONTROL;DANO CONTROL
REMEDY;REINICIAR;REINICIAR
CAUSE;MODUPOTEN;DANO MODULO DE POTENCIA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;PUERTO;DANO EN PUERTO
CAUSE;MOD.COMU;MODULO COMUNICACIONES
REMEDY;RECONFIGURAR;RECONFIGURAR
CAUSE;FUSIB.QUEM;FUSIBLE PROTECCION QUEMADO
CAUSE;CABLE;CABLE DANADO
PROBLEM;DRIVER_BSAP;DRIVER DE COMUNICACION BSAP
CAUSE;DANO.PETHERN;DANO EN PUERTO ETHERNET
REMEDY;CAMBIAR;CAMBIAR
REMEDY;RESET_LOCAL;REINICIO LOCAL
CAUSE;CABLE;CABLE DANADO
CAUSE;CONECTOR;CONECTOR DANADO
PROBLEM;DRIVER_DNP3;DRIVER DE COMUNICACION DNP3
PROBLEM;DRIVER_MODBUS;DRIVER DE COMUNICACION MODBUS
REMEDY;AJUSTAR;AJUSTAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;MODU.DI;MODULO ENTRADA DIGITAL
REMEDY;CONFIGUR;CONCENTRADOR DESCONFIGURADO
REMEDY;CONFIGUR;CONFIGURAR
REMEDY;REPARAR;REPARAR
PROBLEM;FALLABOMBA;NO ARRANCA LA BOMBA PRINCIPAL
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
CAUSE;CONTROL;DANO CONTROL
REMEDY;CAMBIAR;CAMBIAR
FAILURECLASS;REGU TENS;REGULADOR DE TENSION
REMEDY;CORREGIR;CORREGIR
CAUSE;CIRCUDISPA;DANO EN EL CIRCUITO DE CONTROL DE DISPARO
REMEDY;CORREGIR;CORREGIR
REMEDY;CORREGIR;CORREGIR
CAUSE;PERDIDAISLAMI;PERDIDA DE AISLAMIENTO
CAUSE;INTERRUABIER;INTERRUPTOR DE CAMPO ABIERTO
CAUSE;CIRCUITOABIER;CIRCUITO DE PT ABIERTO
CAUSE;BREAKPREABIER;BREAKER DE PREEXITACION ABIERTO
REMEDY;CORREGIR;CORREGIR
REMEDY;REPARAR;REPARAR
CAUSE;FALLABATERIA;AUSENCIA DE VOLTAJE DC POR FALLA DE LAS BATERIAS
REMEDY;CORREGIR;CORREGIR
CAUSE;CIRCUDISPA;DANO EN EL CIRCUITO DE CONTROL DE DISPARO
CAUSE;DANOTARJ;DANO EN LA TARJETA
CAUSE;DANMODULO;DANO DE MODULO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DANOTARJ;DANO EN LA TARJETA
REMEDY;REPARAR;REPARAR
PROBLEM;SOBRCALENT;SOBRECALENTAMIENTO
REMEDY;CAMBIAR;CAMBIAR
FAILURECLASS;TABLEROPOTENCIA;TABLERO DE POTENCIA
CAUSE;OBSTRUCFILTR;OBSTRUCCION DE FILTROS
FAILURECLASS;PUENTEGRUA;PUENTGRUA
CAUSE;DEFOR.RUPT;DEFORMACION RUPTURA FATIGA VIGAS Y UNIONES
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
REMEDY;CORREGIR;CORREGIR
CAUSE;APER.CORCIR;APERTURA O CORTO CIRCUITO CABLEADO ALIMENTADOR
CAUSE;CIRCUABIERT;NO SE DETECTA CORRIENTE EXITACION POR CIRCUITO ABIERTO
PROBLEM;VIBRACABLES;VIBRACION RUIDO EN SISTEMA CABLES
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;ALARMAFLUJO;DA ALARMA POR FLUJO BAJO-ALTO, ESTANDO NORMAL
REMEDY;REPARAR;REPARAR
REMEDY;CORREGIR;CORREGIR
REMEDY;REPARAR;REPARAR
REMEDY;CORREGIR;CORREGIR
PROBLEM;PERDIDPRESI;PERDIDA DE PRESION EN EL SISTEMA
PROBLEM;TRANSF.CAL;TRANSFERENCIA DE CALOR INSUFICIENTE
REMEDY;CAMBIAR;CAMBIAR
REMEDY;AJUSTAR;AJUSTAR
REMEDY;AJUSTAR;AJUSTAR
FAILURECLASS;PLC;PLC
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;TARJ.ENTFALL;TARJETA DE ENTRADAS DIGITALES EN FALLA
CAUSE;OBSTRU.INTERC;OBSTRUCCION DE INTERCAMBIADOS
PROBLEM;ELU;FUGA ACEITE
REMEDY;REPARAR;REPARAR
CAUSE;RADIO;RADIO
REMEDY;REDIREC;REDIRECCIONAR
FAILURECLASS;ACERO;TUBERIA DE ACERO CARBONO
CAUSE;LIMP.DEF;LIMPIEZA INTERIOR TUBERIA DEFICIENTE
PROBLEM;RECUBRIM;DANO EN EL RECUBRIMIENTO
REMEDY;REPARAR;REPARAR
CAUSE;INST.TER;INSTALACION EN TERRENO INADECUADO
CAUSE;MAT.ORG;PRESENCIA AGUAS RESID Y/O MAT ORG EN ALREDEDORES
CAUSE;CORR.PAR;CORRIENTES PARASITAS
CAUSE;DESGASTE;DESGASTE, CORROSION, GRIETAS, FISURAS EN EL EQUIPO
CAUSE;TERCEROS;DANOS CAUSADOS POR TERCEROS (INCLUYE VANDALISMO)
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;INSTALAC;DEFECTO DE CONSTRUCCION, INSTALACION, MONTAJE
CAUSE;TERCEROS;DANOS CAUSADOS POR TERCEROS (INCLUYE VANDALISMO)
CAUSE;OPERAC;OPERACION INCORRECTA
REMEDY;REPARAR;REPARAR
CAUSE;CONTAMIN;ELEMENTOS EXTRANOS O CONTAMINANTES EN EL FLUIDO
CAUSE;CORR.INS;CORROSION POR INSTALACION NO ACORDE AL DISENO
CAUSE;FRAC.VAN;FRACTURA DEBIDO A VANDALISMO
CAUSE;QUEM.ATM;QUEMADO POR DESCARGA ATMOSFERICA
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
CAUSE;DESCONOCIDA;DESCONOCIDA
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;INSTALAC;DEFECTO DE CONSTRUCCION, INSTALACION, MONTAJE
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;LUBRIC;LUBRICAR
PROBLEM;BLOQUEOELCTR;BLOQUEO ELECTRICO MALO
CAUSE;TRINQUEPEGAD;TRINQUETE DE CIERRE/APERT PEGADO
REMEDY;LUBRICAR;LUBRICAR
PROBLEM;NOLUCEACEPTA;NO LUCE ACEPTABLE
REMEDY;ACOPLAR;ACOPLAR
CAUSE;MOTORQUEMAD;MOTOR QUEMADO
PROBLEM;MALAJUSTECON;MAL JUSTE EN LOS CONTACTO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;SOLDAR;SOLDAR
CAUSE;CONTAMIN;ELEMENTOS EXTRANOS O CONTAMINANTES EN EL FLUIDO
CAUSE;EMPDANA;EMPAQUETADURA DAÑADA
PROBLEM;GRIECARC;GRIETAS EN CARCASA
REMEDY;CAMBIAR;CAMBIAR
FAILURECLASS;CCM;CENTRO CONTROL MOTORES
PROBLEM;VOL_RNG;SALIDA DE VOLTAJE FUERA DE RANGO
CAUSE;CON SUL;CONEXIONES SULFATADAS O FLOJAS (PUNTOS CONEXION CU)
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;RUPT.MEC;(SOLO LAB) DANO DE MECANISMO INTERNO
REMEDY;REPARAR;REPARAR
PROBLEM;FALT.PRES;FALTA PRESIÓN ACEITE
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;LIN_ENFRI_ROTA;LINEAS DEL SISTEMA DE ENFRIAMIENTO DESGASTADAS O ROTAS
REMEDY;REPONER;REPONER
PROBLEM;LLANTAS_FALLA;LLANTAS EN FALLA
CAUSE;FUGA_OIL;FUGA DE ACEITE
REMEDY;REPARAR;REPARAR
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;REPARAR;REPARAR
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;CORRINT;CORROSION INTERNA
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;TERCORRO;TERMINALES CORROIDAS
CAUSE;BIELAREVENTA;BIELA REVENTADA
CAUSE;DANOMECANICO;DANO MECANICO EN EL MECANISMO DE ACCINAMIENTO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;LUBRICAR;LUBRICAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DANOEMPAQUE;EMPAQUE DANADO
PROBLEM;INDICASUELTO;INDICADOR DE POSICION SUELTO
CAUSE;SUJECISUELTA;ELEMENTO DE SUJECION SUELTO
CAUSE;DESGASTE;DESGASTE, CORROSION, GRIETAS, FISURAS EN EL EQUIPO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;NOHAYINDICAC;NO HAY SEÑALIZACION ELECTRICA ESTADO INTERRUPTOR
CAUSE;FALALIMSEN;FALTA  ALIMENTACION EN EL CIRCUITO DE SENALIZACION
REMEDY;PINTAR;PINTAR
CAUSE;CABTIERROTO;CABLE DE PUESTA A TIERRA CON HILOS ROTOS
CAUSE;DESGASTE;DESGASTE, CORROSION, GRIETAS, FISURAS EN EL EQUIPO
CAUSE;TRANSFALLADO;TRANSFORMADOR FALLADO
REMEDY;DESOBSTRUIR;DESOBSTRUIR
CAUSE;UNIONDEFECTU;UNION DE BUJE DEFECTUOSA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;FALALIMCTO;FALTA DE ALIMENTACION CIRCUITO DE ALIMENTACION
PROBLEM;FUGAACEITE;FUGA DE ACEITE
REMEDY;REPARAR;REPARAR
CAUSE;FALALIMCONT;FALLA DEBIDO A FALTA DE ALIMENTACION EN CONTROL
CAUSE;VENTILADANAD;VENTILADORES CON DANO MECANICO
CAUSE;FOSOSATURADO;FOSO SATURADO
CAUSE;DRENAJEOBSTRU;DRENAJES OBSTRUIDOS
REMEDY;LIMPIAR;LIMPIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CAMBLOMEC;CAMBIADOR BLOQUEADO MECANICAMENTE
PROBLEM;HUMEGABICONT;HUMEDAD EN GABINETE DE CONTROL
REMEDY;CAMBIAR;CAMBIAR
REMEDY;RECONSTRUIR;RECONSTRUIR
CAUSE;CORROSION;CORROSION
REMEDY;CAMBIAR;CAMBIAR
